District,Settlement,Settlement_ID,Long,Lat
Adjumani,Pagirinya Settlement,1,32.00925,3.379
Adjumani,"Maaji I,II, III",2,31.66274606,3.19758096
Adjumani,"Mungula I, II",3,31.8157116,3.1579196
Adjumani,Boroli,4,31.866389,3.299444
Adjumani,Nyumanzi,5,31.951458,3.438461
Adjumani,"Ayilo I,II",6,31.96233333,3.2566
Hoima,Kyangwali,7,30.812695,1.211136
Koboko,Kuluba CP,8,30.93260556,3.506605556
Arua,Ocea RC (Rhino),9,31.282122,3.072928
Arua,Rhino settlement,10,31.353345,2.965111
Arua,Imvepi Settlement,11,31.28612293,3.258081008
Lamwo,Palabek Settlement,12,32.412692,3.364856
Yumbe,Bidibidi Settlement,13,31.44658,3.567
Amuru,Elegu CP,14,32.07047,3.567
Moyo,Palorinya Settlement,15,31.659742,3.508815
Kamwenge,Rwamwanja,16,30.630799,0.321722
Kisoro,Nyakabande TC,17,29.733334,-1.283333
Isingiro,Nakivale Settlement,18,30.949444,-0.776389
Isingiro,Oruchinga,19,30.637274,-0.961159
Kyegegwa,Kyaka II settlement,20,31.081311,0.357999
Kiryandongo,Kiryandongo TC,21,32.161478,1.938358
Kiryandongo,Kiryandongo Settlement,22,32.0651378,1.89279254
Kampala,Kampala District,23,,
